(2, 1, 3, 7, 6), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 5, 3, 7), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 5, 7, 3), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 5, 7, 8), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 5, 8, 7), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 6, 3, 7), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 6, 7, 3), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 6, 7, 8), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 6, 8, 7), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 7, 3, 5), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 7, 3, 6), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 7, 5, 3), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 7, 5, 8), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 7, 6, 3), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 7, 6, 8), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 7, 8, 5), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 7, 8, 6), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 7, 8, 9), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 7, 9, 8), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 8, 5, 7), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 8, 6, 7), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 8, 7, 5), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 8, 7, 6), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 8, 7, 9), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 8, 9, 7), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 9, 7, 8), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 9, 8, 7), ['P', 'D', 'D', 'P', 'P'] 
(2, 3, 4, 5, 8), ['P', 'D', 'D', 'P', 'P'] 
(2, 3, 4, 8, 5), ['P', 'D', 'D', 'P', 'P'] 
(2, 3, 5, 4, 8), ['P', 'D', 'D', 'P', 'P'] 
(2, 3, 5, 7, 9), ['P', 'D', 'D', 'P', 'P'] 
(2, 3, 5, 8, 4), ['P', 'D', 'D', 'P', 'P'] 
(2, 3, 5, 8, 9), ['P', 'D', 'D', 'P', 'P'] 
(2, 3, 5, 9, 7), ['P', 'D', 'D', 'P', 'P'] 
(2, 3, 5, 9, 8), ['P', 'D', 'D', 'P', 'P'] 
(2, 3, 7, 5, 9), ['P', 'D', 'D', 'P', 'P'] 
(2, 3, 7, 9, 5), ['P', 'D', 'D', 'P', 'P'] 
(2, 3, 7, 9, 10), ['P', 'D', 'D', 'P', 'P'] 
(2, 3, 7, 10, 9), ['P', 'D', 'D', 'P', 'P'] 
(2, 3, 8, 4, 5), ['P', 'D', 'D', 'P', 'P'] 
(2, 3, 8, 5, 4), ['P', 'D', 'D', 'P', 'P'] 
(2, 3, 8, 5, 9), ['P', 'D', 'D', 'P', 'P'] 
(2, 3, 8, 9, 5), ['P', 'D', 'D', 'P', 'P'] 
(2, 3, 9, 5, 7), ['P', 'D', 'D', 'P', 'P'] 
(2, 3, 9, 5, 8), ['P', 'D', 'D', 'P', 'P'] 
(2, 3, 9, 7, 5), ['P', 'D', 'D', 'P', 'P'] 
(2, 3, 9, 7, 10), ['P', 'D', 'D', 'P', 'P'] 
(2, 3, 9, 8, 5), ['P', 'D', 'D', 'P', 'P'] 
(2, 3, 9, 10, 7), ['P', 'D', 'D', 'P', 'P'] 
