(1, 2, 6, 5, 8) ['P', 'P', 'D', 'D', 'S'] 
(2, 3, 5, 8, 7) ['P', 'P', 'D', 'D', 'S'] 
(2, 3, 7, 6, 9) ['P', 'P', 'D', 'D', 'S'] 
(2, 3, 7, 8, 9) ['P', 'P', 'D', 'D', 'S'] 
(3, 4, 8, 7, 10) ['P', 'P', 'D', 'D', 'S'] 
(3, 4, 9, 6, 11) ['P', 'P', 'D', 'D', 'S'] 
(3, 4, 9, 7, 10) ['P', 'P', 'D', 'D', 'S'] 
(3, 4, 10, 7, 11) ['P', 'P', 'D', 'D', 'S'] 
(4, 5, 8, 11, 10) ['P', 'P', 'D', 'D', 'S'] 
(4, 5, 9, 6, 11) ['P', 'P', 'D', 'D', 'S'] 
(5, 6, 9, 11, 10) ['P', 'P', 'D', 'D', 'S'] 
(5, 6, 10, 7, 12) ['P', 'P', 'D', 'D', 'S'] 
(5, 6, 10, 9, 12) ['P', 'P', 'D', 'D', 'S'] 
(5, 6, 11, 10, 12) ['P', 'P', 'D', 'D', 'S'] 
(6, 7, 11, 8, 13) ['P', 'P', 'D', 'D', 'S'] 
(6, 7, 11, 10, 13) ['P', 'P', 'D', 'D', 'S'] 
(7, 8, 12, 11, 14) ['P', 'P', 'D', 'D', 'S'] 
(8, 9, 12, 13, 14) ['P', 'P', 'D', 'D', 'S'] 
(1, 2, 3, 4, 8) ['P', 'P', 'D', 'P', 'D'] 
(1, 2, 7, 8, 6) ['P', 'P', 'D', 'P', 'D'] 
(2, 3, 6, 7, 10) ['P', 'P', 'D', 'P', 'D'] 
(2, 3, 9, 10, 7) ['P', 'P', 'D', 'P', 'D'] 
(3, 4, 7, 8, 10) ['P', 'P', 'D', 'P', 'D'] 
(3, 4, 7, 8, 11) ['P', 'P', 'D', 'P', 'D'] 
(5, 6, 9, 10, 12) ['P', 'P', 'D', 'P', 'D'] 
(6, 7, 9, 10, 13) ['P', 'P', 'D', 'P', 'D'] 
(6, 7, 10, 11, 13) ['P', 'P', 'D', 'P', 'D'] 
(7, 8, 11, 12, 13) ['P', 'P', 'D', 'P', 'D'] 
(8, 9, 5, 6, 12) ['P', 'P', 'D', 'P', 'D'] 
(8, 9, 10, 11, 14) ['P', 'P', 'D', 'P', 'D'] 
(8, 9, 12, 13, 14) ['P', 'P', 'D', 'P', 'D'] 
(1, 0, 3, 2, 5) ['P', 'D', 'D', 'S', 'S'] 
(1, 2, 0, 4, 5) ['P', 'D', 'D', 'S', 'S'] 
(1, 4, 3, 6, 5) ['P', 'D', 'D', 'S', 'S'] 
(1, 6, 3, 7, 5) ['P', 'D', 'D', 'S', 'S'] 
(1, 6, 4, 8, 5) ['P', 'D', 'D', 'S', 'S'] 
(2, 1, 6, 3, 5) ['P', 'D', 'D', 'S', 'S'] 
(2, 3, 4, 5, 6) ['P', 'D', 'D', 'S', 'S'] 
(2, 4, 1, 6, 5) ['P', 'D', 'D', 'S', 'S'] 
(2, 7, 4, 8, 5) ['P', 'D', 'D', 'S', 'S'] 
(2, 7, 4, 8, 6) ['P', 'D', 'D', 'S', 'S'] 
(2, 7, 8, 9, 6) ['P', 'D', 'D', 'S', 'S'] 
(2, 8, 4, 9, 6) ['P', 'D', 'D', 'S', 'S'] 
(3, 2, 8, 4, 7) ['P', 'D', 'D', 'S', 'S'] 
(3, 4, 2, 6, 7) ['P', 'D', 'D', 'S', 'S'] 
(3, 5, 9, 6, 7) ['P', 'D', 'D', 'S', 'S'] 
(3, 6, 9, 8, 7) ['P', 'D', 'D', 'S', 'S'] 
(3, 7, 8, 9, 6) ['P', 'D', 'D', 'S', 'S'] 
(3, 8, 6, 9, 7) ['P', 'D', 'D', 'S', 'S'] 
(4, 1, 6, 2, 8) ['P', 'D', 'D', 'S', 'S'] 
(4, 5, 3, 7, 8) ['P', 'D', 'D', 'S', 'S'] 
(4, 5, 6, 7, 8) ['P', 'D', 'D', 'S', 'S'] 
(4, 7, 3, 9, 6) ['P', 'D', 'D', 'S', 'S'] 
(4, 7, 10, 9, 8) ['P', 'D', 'D', 'S', 'S'] 
(4, 9, 7, 10, 8) ['P', 'D', 'D', 'S', 'S'] 
(4, 10, 8, 11, 7) ['P', 'D', 'D', 'S', 'S'] 
(5, 1, 6, 3, 8) ['P', 'D', 'D', 'S', 'S'] 
(5, 4, 10, 6, 8) ['P', 'D', 'D', 'S', 'S'] 
(5, 6, 10, 8, 9) ['P', 'D', 'D', 'S', 'S'] 
(5, 8, 11, 10, 9) ['P', 'D', 'D', 'S', 'S'] 
(5, 10, 8, 11, 9) ['P', 'D', 'D', 'S', 'S'] 
(6, 3, 8, 5, 10) ['P', 'D', 'D', 'S', 'S'] 
(6, 5, 9, 7, 10) ['P', 'D', 'D', 'S', 'S'] 
(6, 7, 3, 8, 10) ['P', 'D', 'D', 'S', 'S'] 
(6, 7, 5, 9, 10) ['P', 'D', 'D', 'S', 'S'] 
(7, 6, 5, 8, 11) ['P', 'D', 'D', 'S', 'S'] 
(7, 6, 10, 8, 11) ['P', 'D', 'D', 'S', 'S'] 
(7, 8, 9, 10, 11) ['P', 'D', 'D', 'S', 'S'] 
(7, 8, 12, 10, 11) ['P', 'D', 'D', 'S', 'S'] 
(8, 7, 10, 9, 12) ['P', 'D', 'D', 'S', 'S'] 
(8, 7, 11, 9, 12) ['P', 'D', 'D', 'S', 'S'] 
(8, 12, 9, 14, 11) ['P', 'D', 'D', 'S', 'S'] 
(9, 6, 5, 8, 12) ['P', 'D', 'D', 'S', 'S'] 
(9, 6, 7, 8, 12) ['P', 'D', 'D', 'S', 'S'] 
(0, 4, 2, 3, 7) ['P', 'D', 'D', 'P', 'S'] 
(1, 3, 6, 7, 5) ['P', 'D', 'D', 'P', 'S'] 
(2, 3, 7, 8, 6) ['P', 'D', 'D', 'P', 'S'] 
(2, 8, 4, 5, 10) ['P', 'D', 'D', 'P', 'S'] 
(3, 2, 8, 9, 5) ['P', 'D', 'D', 'P', 'S'] 
(3, 8, 6, 7, 10) ['P', 'D', 'D', 'P', 'S'] 
(4, 3, 9, 10, 6) ['P', 'D', 'D', 'P', 'S'] 
(4, 10, 7, 8, 12) ['P', 'D', 'D', 'P', 'S'] 
(4, 10, 8, 9, 12) ['P', 'D', 'D', 'P', 'S'] 
(5, 6, 2, 3, 9) ['P', 'D', 'D', 'P', 'S'] 
(6, 10, 7, 8, 13) ['P', 'D', 'D', 'P', 'S'] 
(7, 12, 10, 11, 14) ['P', 'D', 'D', 'P', 'S'] 
